agency,agency_code,employment_count,quit_count,attrition_rate,average_salary,average_service,percent_advance_degrees,percent_female,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Record 1,TD01,752,89,11.84,107482,15,20,54,2014,64.86,69.16,66.98,75,84.6,79.97,97.13,89.51,52.94,60.41,58.51,82.19,88.87,77.39,71.82,82.19,57.01,46.98,63.12,75.4,54.69,42.13,31.37,38,44.92,72.18,52.55,82.64,71.43,45.87,59.87,49.04,28.46,61.08,82.7,78.41,49.84,60.57,78.5,67.57,46.74,82.73,68.63,63.43,65.5,63.49,65.5,76.79,77.42,73.17,64.76,63.28,45.22,47.46,62,55.08,44.9,47.13,53.98,51.11,51.75,53.82,49.44,44.67,46.98,41.18,33.07,46.98,68.2,55.17,59.3
Record 2,GS28,545,64,11.74,112027,19,21,40,2014,63.84,69.11,63.47,68.93,76.79,72.83,94.16,92.86,51.04,61.02,55.28,78.15,82.45,62.03,65.47,85.53,67.04,45.39,66.35,81.32,38.42,32.83,30.08,34.46,36.23,74.95,51.89,87.19,64.6,50.47,48.02,40.94,17.7,48.87,70.38,69.3,57.82,64.03,72.5,67.23,43.05,84.72,69.17,66.48,64.15,65.91,66.98,79.1,84.75,80.19,71.43,75.19,44.63,51.98,61.96,63.84,60.45,58.27,65.91,61.32,58.19,62.52,54.15,55.28,46.6,46.52,38.04,45.3,66.67,58.11,62.71
Record 3,TR91,1949,228,11.7,129197,12,30,44,2017,67.62,65.43,66.16,69.44,78.48,73.35,95.05,90.77,39.02,53.38,56.87,78.11,81.88,62.44,72.52,83.11,63.94,47.18,71.4,78.56,51.8,45.75,35.21,41.49,49.01,76.52,58.73,88.52,72.66,49.61,59.38,49.18,31.94,50.76,71.57,70.38,55.18,64.73,74.93,63.96,44.19,83.73,71.92,67.32,69.67,67.14,72.02,80.56,82.59,83.05,72.82,75.01,45.61,52.11,64.96,59.71,56.98,55.35,60.44,58.7,53.07,54.05,54.14,53.55,56.87,44.96,35.98,49.04,62.22,59.89,58.03
Record 4,AF0R,2918,340,11.65,67846,11,16,34,2014,57.56,68.37,60.8,72.18,82.32,79.46,95,92.76,34.6,56.53,56.49,83.45,90.58,61.99,73.49,82.8,62.35,38.17,67.94,74.16,32.36,27.75,25.84,29.97,34.71,68.64,45.66,78.94,64.85,45.52,46.62,34.9,13.06,40.09,71.88,78.49,48.95,57.23,75.59,58.13,26.85,75.49,63.66,57.06,58.81,55.73,55.61,75.41,81.08,66.35,65.04,67.02,41.44,52.35,59.33,54.92,48.12,46.6,53.77,53.85,52.38,50.81,50.13,40.8,42.94,42.83,23.09,36.61,62.42,48.18,50.98
Record 5,DD16,2102,244,11.61,68348,14,15,52,2013,37.7,58.84,48,68.91,81.59,69.27,96.31,93.92,38.06,42.58,52.44,83.69,92.2,69.92,67.9,83.04,56.07,26.33,64.98,69.74,38.3,22.74,23.36,22.22,32.08,63.25,44.13,80.29,67.08,35.6,37.5,26.89,10.89,43.27,73.67,72.56,44.91,59.14,70.12,50.98,30.49,71.43,60.89,60.13,63.39,58.27,51.96,70.88,74.09,68.27,62.56,66.65,35.68,45.62,55.39,57.14,50.68,46.43,52.98,52.05,46.01,42.01,45.65,42.58,39.81,36.47,26.74,23.59,53.6,45.89,43.27
Record 6,AF0R,3013,349,11.58,66280,11,15,36,2013,57,66.59,64.48,67.7,80.08,79.47,93,89.22,33.41,54.77,61.02,84.57,85.04,63.25,72.49,84.41,67.33,38.89,65.33,71.8,31.58,32.78,28.29,31.3,41.31,68.67,43.5,76.85,65.92,46.74,53.24,43.68,11.02,45.07,71.93,78.37,52.74,61.52,79.84,62.07,24.01,78.48,65.25,64.1,61.45,59.8,63.16,76.73,82.86,66.48,68.46,67.24,44.15,57.91,65.71,62.05,59.71,55.61,58.58,59.17,60.9,54.87,51.93,43.87,45.98,47.14,27.68,40.49,59.92,52.19,52.31
Record 7,DD16,1851,214,11.56,74752,13,19,54,2017,49.76,59.31,55.62,67.63,79.93,73.84,95.24,91.66,45.07,46.1,51.72,80.77,88.83,70,67.77,82.4,53.86,37.82,64.97,67.59,39.54,24.57,29.24,28.57,34.21,59.97,49.03,81.49,62.28,38.3,38.28,27.61,14.34,41.71,77.24,75.5,45.62,54.55,66.16,49.55,29.54,69.57,57.66,55.21,59.72,54.87,53.86,71.57,75.02,65.84,61.59,64.41,32.44,41.06,53.69,45.34,41.17,40.37,43.66,46.34,47,38.1,46.52,36.11,42.38,33.47,30.57,37.09,59.01,58.76,44.79
Record 8,AF0R,3057,353,11.55,66821,10,16,36,2015,58.29,71.4,62.58,68.9,84.84,79.61,95.83,91.67,43.31,58.58,60.61,83.19,90.61,67.57,76.47,82.89,66.91,46.12,63.47,74.95,39.77,31.3,32.24,39.71,44.12,71.24,47.73,80.91,68.57,51.03,54.06,44.38,22.73,49.07,73.23,81.12,54.69,62.9,78,60.03,30.85,76.39,61.67,59.75,60.56,55.62,60.11,72.99,77.87,67.89,67.17,67.17,47.55,55.58,61.72,59.16,56.61,54.99,56.65,56.83,54.67,53.4,52,47.73,49.6,48.1,30.54,40.67,64.46,57.08,55.92
Record 9,TR91,1955,225,11.51,115246,11,29,46,2013,64.85,70.7,65.26,72.66,80.38,78.23,96.1,91.68,42.73,52.96,57.57,78.36,84.85,74.14,67.73,82.13,63.7,38.6,67.21,79.09,59.35,41.36,33.05,34.55,39.83,75.31,58.32,88.3,72.92,46.78,53.9,44.93,24.06,48.67,74.87,73.16,53.64,63.83,76.67,63.51,42.91,80.83,71.93,63.59,65.02,63.48,69.23,79.35,83.29,82.66,71.8,73.42,46.88,59.77,62.47,59.36,54.58,53.15,59.22,59.91,60.23,53.28,55.4,50.78,52.76,47.01,32.81,38.73,62.51,54.55,59.52
Record 10,IN05,8133,934,11.48,71856,17,14,40,2015,62.29,64.88,56.51,67.04,81.47,72.74,94.28,89.72,34.87,41.8,52,78.78,85.96,61.62,62.65,79.09,54.15,45.68,66.97,71.12,35,30.19,22.2,26.68,35.64,71.02,46.25,79.32,60.7,36.13,41.31,32.16,13.14,54.4,78.64,68.09,47.92,59.84,57.99,59.56,22.53,79.92,62.86,58.74,57.37,54.82,62.61,74.17,78.61,77.17,62.67,65.4,25.03,35.01,51.98,47.4,41.71,42.05,48.43,44.72,33.4,42.25,47.08,39.13,45.08,26.88,34.1,47.98,60.99,57.71,47.49
